scientific_name,latitude,longitude,locality_name,locality_type,presence_status,water_body,water_body_type,coordinate_precision,year_collected,collector,source_citation,is_sensitive,notes,data_source
Ancharius fuscus,-24.658333,46.870000,"Rivière Mahampanihm, près du village Enaniliha",collection_record,present,,river,exact,,J.G. Andriamionahaga;Patrick De Rham,GBIF: MHNG MHNG-ICHT-2702.023,false,,
Ancharius fuscus,-23.350000,47.466667,"SAHAMBAVY RIVER, AT AMPATAKA VILLAGE ON ROAD BETWEEN VAGAINDRANO AND RANOMERA ROADS",collection_record,present,,river,exact,1998,P.V. LOISELLE,GBIF: FishBase AMNH 228068,false,,
Ancharius fuscus,-22.766667,47.033333,AMPISIKA RIVER AT AMPARAHATRA VILLAGE,collection_record,present,,river,exact,1999,"A.R. SAUNDERS, P.V. LOISELLE",GBIF: FishBase AMNH 231340,false,,
Ancharius fuscus,-22.403611,46.125833,"GBIF record at -22.404, 46.126",collection_record,present,,,exact,1962,Centre Technique Forestier Tropical de Madagascar,GBIF: RBINS-Scientific Heritage 16994,false,,
Ancharius fuscus,-21.083333,48.450000,MAINSTREAM OF RIVER MANANJARY ca. 1 KILOMETER FROM MANANJARY TOWN,collection_record,present,,stream,exact,1988,"M.L.J. STIASSNY, P.N. REINTHAL",GBIF: FishBase AMNH 88070,false,,
Ancharius griseus,-22.982222,47.368611,"(I)Hazofotsy River near Isalo, appprox. 2 hr hike from Sakalama Village",type_locality,present,,river,exact,,,GBIF: UMMZ 238041,false,,
Arius madagascariensis,-20.391188,44.730145,Morondava River,collection_record,present,,river,exact,,PN Reinthal,GBIF: UMMZ 240022,false,,
Arius madagascariensis,-19.811943,45.482603,Ankazondringitra River,collection_record,present,,river,exact,1993,PN Reinthal,GBIF: UMMZ 238363,false,,
Arius madagascariensis,-19.519903,45.458771,Lake Akazomanga at Miandrivazo,collection_record,present,,lake,exact,1993,PN Reinthal,GBIF: UMMZ 239809,false,,
Arius madagascariensis,-19.295453,44.404386,"Manambolo River, 3-5 km from mouth of river",collection_record,present,,river,exact,1993,PN Reinthal,GBIF: UMMZ 238407,false,,
Arius madagascariensis,-16.450000,46.716667,"GBIF record at -16.450, 46.717",collection_record,present,,,exact,,Centre Technique Forestier Tropical de Madagascar,GBIF: RBINS-Scientific Heritage 16999,false,,
Arius madagascariensis,-16.309444,46.816389,"Lake Ravelobe, across from Ampijoroa forestry station",collection_record,present,,lake,exact,,"JS Sparks, K Riseng",GBIF: UMMZ 238057,false,,
Arius madagascariensis,-16.150000,45.833333,"GBIF record at -16.150, 45.833",collection_record,present,,,exact,1959,Centre Technique Forestier Tropical de Madagascar,GBIF: RBINS-Scientific Heritage 16996,false,,
Arius madagascariensis,-16.093889,45.860278,Lake Kinkony,collection_record,present,,lake,exact,1994,"JS Sparks, K Riseng",GBIF: UMMZ 238056,false,,
Awaous aeneofuscus,-21.258889,47.421389,"Namorona River, Ranomafana Natl. Park (above large waterfall)",collection_record,present,,river,exact,,"JS Sparks, K Riseng & class",GBIF: UMMZ 236537,false,,
Awaous aeneofuscus,-20.549999,46.799999,Ambatofinandrhana,collection_record,present,,,exact,1911,P.A. Methuen,GBIF: SAIAB 45427,false,,
Awaous aeneofuscus,-20.391188,44.730145,Morondava River,collection_record,present,,river,exact,,PN Reinthal,GBIF: UMMZ 238317,false,,
Awaous aeneofuscus,-20.311944,47.736944,Near ambodivoar village,collection_record,present,,,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82314,false,,
Awaous aeneofuscus,-20.091944,48.374444,River pools below 'hotel',collection_record,present,,river,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82783,false,,
Awaous aeneofuscus,-20.079167,48.406667,small stream along road to coast,collection_record,present,,stream,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82785,false,,
Awaous aeneofuscus,-20.067500,48.153611,Near Marolambo town,collection_record,present,,,exact,2005,Roger Bills,GBIF: SAIAB 187825,false,,
Awaous aeneofuscus,-20.049722,48.127778,Tributary at confluence with Nosivolo in Maralambo,collection_record,present,,,exact,2005,Roger Bills,GBIF: SAIAB 187833,false,,
Awaous aeneofuscus,-19.920000,48.830000,"Pangalanes north of River Mangoro. Mahanoro Town, behind Hotel de la Pangalane.",collection_record,present,,river,exact,1988,M. Stiassny,GBIF: USNM USNM 301503,false,,
Awaous aeneofuscus,-19.916667,48.833333,"PANGALANES, NORTH OF RIVER MANGORO, MAHANORO TOWN BEHIND HOTEL DE LA PANGALANE",collection_record,present,,river,exact,1988,"M.L.J. STIASSNY, P.N. REINTHAL",GBIF: FishBase AMNH 88093,false,,
Awaous aeneofuscus,-18.954444,49.109444,"GBIF record at -18.954, 49.109",collection_record,present,,,exact,1967,Centre Technique Forestier Tropical de Madagascar,GBIF: RBINS-Scientific Heritage BE-RBINS-VZ-Pisces-17009,false,,
Awaous aeneofuscus,-18.230900,49.321200,211+050,collection_record,present,,,exact,2007,J. Rall,GBIF: SAIAB 191372,false,,
Awaous aeneofuscus,-15.833611,48.714444,Ambomboa River (near where it flows into Mangarahara River),collection_record,present,,river,exact,1994,"JS Sparks, K Riseng",GBIF: UMMZ 236539,false,,
Awaous aeneofuscus,-15.309722,50.235556,"Ankavanana River (near Project Masoala site 1005), Masoala Peninsula",collection_record,present,,river,exact,1994,"JS Sparks, KJ Riseng & guides",GBIF: UMMZ 234841,false,,
Awaous aeneofuscus,-15.303889,50.263056,"Ankavanana River, Masoala Peninsula",collection_record,present,,river,exact,1994,"JS Sparks, KJ Riseng",GBIF: UMMZ 234845,false,,
Awaous aeneofuscus,-15.295000,50.354167,"Onive River, camping on sandy island ca. 2 hour walk from Antanandavahely",collection_record,present,,river,exact,1994,"P Reinthal, JS Sparks",GBIF: UMMZ 234856,false,,
Awaous aeneofuscus,-14.872222,48.247778,"Bora Reserve, Bemahavony River/Stream (runs into Anjingo River)",collection_record,present,,stream,exact,1994,JS Sparks and K Riseng,GBIF: UMMZ 243673,false,,
Awaous aeneofuscus,-14.844722,48.243889,"Anjingo River, sampled upstream and downstream of bridge",collection_record,present,,stream,exact,1994,"JS Sparks, K Riseng",GBIF: UMMZ 244628,false,,
Awaous aeneofuscus,-14.300000,49.550000,"DIEGO-SUAREZ, BANKS OF THE MANANTENINA RIVER, AT THE SOUTHEASTERN BOUNDARY OF THE RESERVE NATURELLE INTEGRALE DE MAROJEJY, ca. 28 KILOMETERS NORTHEAST OF*",collection_record,present,,river,exact,,FISHERWOMEN/M.L.J. STIASSNY,GBIF: FishBase AMNH 226655,false,,
Awaous aeneofuscus,-14.020500,48.160180,"GBIF record at -14.021, 48.160",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0678",false,,
Awaous aeneofuscus,-14.020000,48.160000,Ankaramihely,collection_record,present,,,exact,,,GBIF:  RDR0678,false,,
Awaous aeneofuscus,-13.890000,49.930000,Anandray,collection_record,present,,,exact,,,GBIF:  RDR1121,false,,
Awaous aeneofuscus,-13.886040,49.930110,"GBIF record at -13.886, 49.930",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR1121",false,,
Awaous aeneofuscus,-13.314210,48.258990,Nosy Be Island,collection_record,present,,,exact,1959,Cherbonnier Gustave (Dr.),GBIF: RBINS-Scientific Heritage BE-RBINS-VZ-Pisces-17126,false,,
Awaous aeneofuscus,-13.212778,49.176111,"Andranomaloto Riviere, trib. of Mananjeba Riviere",collection_record,present,,river,exact,1996,"JS Sparks, K Riseng",GBIF: UMMZ 236540,false,,
Bathygobius fuscus,-23.420605,43.656207,"Tulear, Dead fringing reef near mouth of Firehana River",collection_record,present,,river,exact,1964,J Bardach & LA Mauge,GBIF: UMMZ 186062,false,,
Bathygobius fuscus,-15.593056,49.977778,Ambanizana River (tavy camp),collection_record,present,,river,exact,1994,"P Reinthal, JS Sparks",GBIF: UMMZ 234823,false,,
Bathygobius fuscus,-13.689400,48.174200,"Small stream entering Baie D'Ampasidava, Madagascar. (near Marokibahi).",collection_record,present,,stream,exact,1964,,GBIF: USNM USNM 340374,false,,
Bathygobius fuscus,-13.477200,48.230000,"Nossi-Be, Madagascar",collection_record,present,,,exact,1964,,GBIF: USNM USNM 340370,false,,
Bathygobius fuscus,-13.430600,48.359700,Nossi Be Madagascar Ambario Telo,collection_record,present,,,exact,1964,,GBIF: USNM USNM 339986,false,,
Bathygobius fuscus,-13.405000,48.225000,"Ambatomboka or Crater Point, rocky tide pools at entrance to crater Nossi-Be, Madagascar",collection_record,present,,,exact,1964,,GBIF: USNM USNM 340000,false,,
Bathygobius fuscus,-13.401400,48.212500,"Crater Point, rocky tide pools, Nossi Be Madagascar",collection_record,present,,,exact,1964,,GBIF: USNM USNM 340369,false,,
Bathygobius fuscus,-13.314210,48.258990,Nosy Be Island,collection_record,present,,,exact,1959,Cherbonnier Gustave (Dr.),GBIF: RBINS-Scientific Heritage BE-RBINS-VZ-Pisces-17127,false,,
Bedotia albomarginata,-22.720000,47.200000,Upper Mananara/Rienana drainages near Vondrozo (approx),literature_record,present,,stream,approximate,,,Sparks & Rush 2005,false,No GBIF coords exist. Approximate.,
Bedotia alveyi,-15.290000,49.617330,"small stream just north of Ambodivoankongy, tributary of Antainambalana River, S",collection_record,present,,stream,exact,2003,"J. S. Sparks, W. L. Smith, K. L. Tang",GBIF: FMNH 118296,false,,
Bedotia geayi,-21.366667,47.800000,"RIVER BOTELY, ON WAY TO KIANJAVATO",collection_record,present,,river,exact,1988,"M.L.J. STIASSNY, P.N. REINTHAL",GBIF: FishBase AMNH 88015,false,,
Bedotia geayi,-21.350000,47.750000,"ANDRANOMAINTSO RIVER, SEVERAL KILOMETERS EAST OF AMBODIRAFIA ON ROUTE 25, ON THE ROAD FROM RANOMAFANA TO MANANJARY, SMALL RIVER",collection_record,present,,river,exact,1998,"P.V. LOISELLE, A. SAUNDERS",GBIF: FishBase AMNH 229533,false,,
