scientific_name,latitude,longitude,locality_name,locality_type,presence_status,water_body,water_body_type,coordinate_precision,year_collected,collector,source_citation,is_sensitive,notes
Ancharius,-18.791530,48.879170,103+970,collection_record,present,,,exact,2007,J. Rall,GBIF: SAIAB 191184,false,[Genus-level ID only; species unresolved]
Ancharius fuscus,-24.658333,46.870000,"Rivière Mahampanihm, près du village Enaniliha",collection_record,present,,river,exact,,J.G. Andriamionahaga;Patrick De Rham,GBIF: MHNG MHNG-ICHT-2702.023,false,
Ancharius fuscus,-23.350000,47.466667,"SAHAMBAVY RIVER, AT AMPATAKA VILLAGE ON ROAD BETWEEN VAGAINDRANO AND RANOMERA ROADS",collection_record,present,,river,exact,1998,P.V. LOISELLE,GBIF: FishBase AMNH 228068,false,
Ancharius fuscus,-22.766667,47.033333,AMPISIKA RIVER AT AMPARAHATRA VILLAGE,collection_record,present,,river,exact,1999,"A.R. SAUNDERS, P.V. LOISELLE",GBIF: FishBase AMNH 231340,false,
Ancharius fuscus,-22.403611,46.125833,"GBIF record at -22.404, 46.126",collection_record,present,,,exact,1962,Centre Technique Forestier Tropical de Madagascar,GBIF: RBINS-Scientific Heritage 16994,false,
Ancharius fuscus,-21.083333,48.450000,MAINSTREAM OF RIVER MANANJARY ca. 1 KILOMETER FROM MANANJARY TOWN,collection_record,present,,stream,exact,1988,"M.L.J. STIASSNY, P.N. REINTHAL",GBIF: FishBase AMNH 88070,false,
Ancharius griseus,-22.982222,47.368611,"(I)Hazofotsy River near Isalo, appprox. 2 hr hike from Sakalama Village",type_locality,present,,river,exact,,,GBIF: UMMZ 238041,false,
Arius madagascariensis,-20.391188,44.730145,Morondava River,collection_record,present,,river,exact,,PN Reinthal,GBIF: UMMZ 240022,false,
Arius madagascariensis,-19.811943,45.482603,Ankazondringitra River,collection_record,present,,river,exact,1993,PN Reinthal,GBIF: UMMZ 238363,false,
Arius madagascariensis,-19.519903,45.458771,Lake Akazomanga at Miandrivazo,collection_record,present,,lake,exact,1993,PN Reinthal,GBIF: UMMZ 239809,false,
Arius madagascariensis,-19.295453,44.404386,"Manambolo River, 3-5 km from mouth of river",collection_record,present,,river,exact,1993,PN Reinthal,GBIF: UMMZ 238407,false,
Arius madagascariensis,-16.450000,46.716667,"GBIF record at -16.450, 46.717",collection_record,present,,,exact,,Centre Technique Forestier Tropical de Madagascar,GBIF: RBINS-Scientific Heritage 16999,false,
